repo	stars	language	id	name	version	min_herdr	platforms	path	description	url
hmu332233/herdr-f1	4	TypeScript	dev.minung.herdr-f1	Herdr F1	0.3.0	0.7.4	macos,linux	herdr-plugin.toml	Open and stop a live browser Grand Prix for coding agents in this Herdr session.	https://github.com/hmu332233/herdr-f1
hmu332233/herdr-symlink-worktree	4	Shell	dev.minung.symlink-worktree	Symlink Worktree	0.1.0	0.7.0	linux,macos	herdr-plugin.toml	Symlink shared local files from your main repo into new worktrees.	https://github.com/hmu332233/herdr-symlink-worktree
jagzmz/herdr-annotations	4	JavaScript	jagzmz.herdr-annotations	Herdr Annotations	0.2.8	0.7.4	linux,macos,windows	herdr-plugin.toml	Annotate selected terminal text in a private local popup	https://github.com/jagzmz/herdr-annotations
jasonrr/herdr-tally	4	Rust	tally	tally	0.1.9	0.7.0	macos,linux	herdr-plugin.toml	Project-scoped todos & scratchpads for you and your agents.	https://github.com/jasonrr/herdr-tally
JYasha11/herdr-in-your-face	4	JavaScript	jyasha11.in-your-face	In Your Face	0.1.0	0.7.3	linux,macos	herdr-plugin.toml	Incredibly In Your Face for blocked AI agents: an escalating scream overlay.	https://github.com/JYasha11/herdr-in-your-face
kakigakki/herdr-auto-namer	4	Python	auto-namer	Auto Namer	1.0.0	0.7.0	macos,linux	herdr-plugin.toml	ChatGPT-style auto-naming: agents get their Claude session title, workspaces get their working directory	https://github.com/kakigakki/herdr-auto-namer
KonstantinKai/herdr-harpoon	4	Shell	herdr-harpoon	Herdr Harpoon	0.5.0	0.7.3	linux,macos	herdr-plugin.toml	Mark panes and jump to them by index. Harpoon for herdr.	https://github.com/KonstantinKai/herdr-harpoon
kukv/herdr-plugin-github-dash	4	Go	kukv.github-dash	GitHub Dash	0.2.0	0.7.0	linux,macos	herdr-plugin.toml	Browse GitHub pull requests and issues for the current workspace, and post comments.	https://github.com/kukv/herdr-plugin-github-dash
lmilojevicc/herdr-tab-rename	4	Go	herdr-tab-rename	Tab Auto-Rename	0.1.0	0.7.0	linux,macos	herdr-plugin.toml	Auto-rename each tab to its focused pane's working-directory name. Manually renamed tabs are left alone.	https://github.com/lmilojevicc/herdr-tab-rename
marcoskichel/herdr-muster	4	Rust	kichel.muster	Muster	0.1.0	0.7.0	linux,macos	herdr-plugin.toml	Agent-aware project switcher — muster your projects into workspaces	https://github.com/marcoskichel/herdr-muster
markhuot/herdr-equalize-splits	4	JavaScript	local.equalize-splits	Equalize Splits	0.1.0	0.7.0	linux,macos	herdr-plugin.toml	Balance every split in the current tab so each pane gets an equal share within its row/column.	https://github.com/markhuot/herdr-equalize-splits
persiyanov/herdr-fresh-worktree	4	JavaScript	persiyanov.fresh-worktree	Fresh Worktree	0.1.0	0.7.0	linux,macos,windows	herdr-plugin.toml	Reset a newly created worktree to the latest origin default branch.	https://github.com/persiyanov/herdr-fresh-worktree
Phoobobo/herdr-workboard	4	TypeScript	phoobobo.workboard	Workboard	0.1.0	0.7.0	macos,linux	herdr-plugin.toml	Kanban workboard for herdr: boards are workspaces, task states are tabs, task sessions are panes	https://github.com/Phoobobo/herdr-workboard
scott306lr/herdr-plugin-hunk-autodiff	4	Python	hunk.autodiff	Hunk Auto Diff	0.1.0	0.7.0	macos,linux	herdr-plugin.toml	Open a hunk diff split when a coding agent finishes with working-tree changes.	https://github.com/scott306lr/herdr-plugin-hunk-autodiff
speardragon/herdr-command-center	4	JavaScript	cdragon.command-center	Command Center	1.1.0	0.7.5	macos,linux	herdr-plugin.toml	One keybinding, every command. A herdr popup that lists the commands you registered, runs them by arrow key or number, and closes itself before the command fires.	https://github.com/speardragon/herdr-command-center
takemo101/wave-tui	4	Rust	wave-tui.radio	wave-tui	0.1.5	0.7.0	macos,linux	herdr-plugin.toml	Terminal internet radio for work-session BGM with a read-only Agent Pulse companion.	https://github.com/takemo101/wave-tui
tanshio/herdr-worktreeinclude	4	Shell	tanshio.worktreeinclude	worktreeinclude	0.1.0	0.7.0	macos,linux	herdr-plugin.toml	Copy gitignored files matching .worktreeinclude into newly created worktrees	https://github.com/tanshio/herdr-worktreeinclude
wilbeibi/herdr-catchup	4	Shell	wilbeibi.catchup	Catchup	0.3.0	0.7.0	linux,macos	herdr-plugin.toml	Cross-agent coding-session handoff: summarize, fork, or hand this pane's session to another agent (codex, claude, agy, cline, cursor, kimi, opencode, pi-agent)	https://github.com/wilbeibi/herdr-catchup
aashishd/herdr-agent-messenger	3	Python	herdr-agent-messenger	Messenger	0.2.2	0.7.5	macos,linux	herdr-plugin.toml	Agent-to-agent messaging between live herdr panes, across harnesses	https://github.com/aashishd/herdr-agent-messenger
aclima01/herdr-notify-windows	3	PowerShell	aclima.herdr-notify-windows	Herdr Notify for Windows	0.1.0	0.7.0	windows	herdr-plugin.toml	Raise a Windows 11 toast when an agent finishes its turn or needs input.	https://github.com/aclima01/herdr-notify-windows
arvindparmar-me/herdr-markdown-viewer	3	Shell	herdr.markdown-viewer	Markdown Viewer	0.1.0	0.7.4	linux,macos	herdr-plugin.toml	Preview a selected markdown file path in a right-split pane.	https://github.com/arvindparmar-me/herdr-markdown-viewer
calebcauthon/herdr-theos-settler	3	Rust	herdr-plugins.inbox	Herdr Inbox	0.4.0	0.7.5	linux,macos	herdr-plugin.toml	Settle agent tabs and workspaces below active work, then resurface them when work resumes.	https://github.com/calebcauthon/herdr-theos-settler
cinco/herdr-grep-nvim	3	Shell	grep-nvim	grep-nvim	1.0.3	0.7.0	linux,macos	herdr-plugin.toml	Live-grep the repo with fzf + ripgrep and open the match in nvim, in a split beside your work.	https://github.com/cinco/herdr-grep-nvim
dmnkf/herdr-omnisearch	3	Python	herdr.omnisearch	Herdr OmniSearch	0.6.5	0.7.5	linux,macos	herdr-plugin.toml	Fast local search across live Herdr panes and archived agent sessions	https://github.com/dmnkf/herdr-omnisearch
Hanyang-Li/herdr-espresso	3	Rust	espresso	Espresso Guard	0.1.0	0.7.0	macos	herdr-plugin.toml	Keep macOS awake (incl. lid-closed) while a focused pane's agent is working.	https://github.com/Hanyang-Li/herdr-espresso
hitaishi2222/herdr-fingers	3	Python	herdr-fingers	Fingers	0.1.0	0.7.0	linux,macos	herdr-plugin.toml	Extract file paths, URLs, IPs, UUIDs, hashes, and other identifiers from the focused pane and pick one with vimium-style letter keys.	https://github.com/hitaishi2222/herdr-fingers
ismaelosuna7824/herdr-file-viewer	3	Go	ismaelosuna.file-viewer	File Viewer	0.4.0	0.7.0	linux,macos	herdr-plugin.toml	File explorer, code viewer (syntax + markdown), fuzzy finder, content search and a full git client — in one Herdr pane.	https://github.com/ismaelosuna7824/herdr-file-viewer
iurysza/herdr-pane-layouts	3	Python	layouts	Pane Layouts	0.1.1	0.7.0	linux,macos	herdr-plugin.toml	Seamless tmux-style pane resizing and layouts for Herdr.	https://github.com/iurysza/herdr-pane-layouts
JacquesvanWyk/herdr-lazygit	3	Shell	herdr-lazygit	herdr-lazygit	0.1.0	0.7.0	linux,macos	herdr-plugin.toml	Open lazygit in a herdr split pane or tab, with smart toggle.	https://github.com/JacquesvanWyk/herdr-lazygit
jlimas/herdr-worktree-seed	3	Shell	dev.limas.worktree-seed	Worktree Seed	0.3.0	0.7.1	macos,linux	herdr-plugin.toml	Seed new worktrees with node_modules and configurable local files from the main repo, and keep them based on a fresh origin	https://github.com/jlimas/herdr-worktree-seed
JoanGil/herdr-unread-marker	3	Shell	unread-marker	Unread Marker	0.4.0	0.7.3	linux,macos	herdr-plugin.toml	Mark/unmark the focused agent unread with a keybinding, manual only	https://github.com/JoanGil/herdr-unread-marker
kaar/nvim-herdr-navigator	3	Lua	herdr-navigator	Herdr Navigator	0.1.0	0.7.4	linux,macos	herdr-plugin.toml	Seamless ctrl+h/j/k/l across herdr panes and Neovim splits.	https://github.com/kaar/nvim-herdr-navigator
kkckkc/herdr-plugin-gh-workflow	3	JavaScript	kkckkchosts.herdr-plugin-gh-workflow	GH Workflow	0.4.0	0.7.0	linux,macos,windows	herdr-plugin.toml	Herdr plugin for GitHub workflow	https://github.com/kkckkc/herdr-plugin-gh-workflow
krystof018/herdr-git-status	3	Shell	gitlab-ci-status	GitLab & GitHub CI + Review Status	0.4.0	0.7.0	linux,macos	herdr-plugin.toml	GitLab & GitHub CI and merge-request review status in herdr: a live colored dot, MR/PR number, and review-state glyph on each space's label, plus on-demand CI-detail and 'My MRs' panes. Auto-detects the provider from the repo's origin host.	https://github.com/krystof018/herdr-git-status
lachieh/herdr-plugin-cmux	3	JavaScript	lachieh.cmux-bridge	cmux agent sidebar bridge	0.1.0	0.7.0	macos	herdr-plugin.toml	Mirror each herdr agent into the cmux sidebar with a live status pill, current-task line, and click-through.	https://github.com/lachieh/herdr-plugin-cmux
maayanyosef/herdr-aws-ssm	3	Shell	herdr-aws-ssm	herdr-aws-ssm	0.1.2	0.7.0	linux,macos	herdr-plugin.toml	Connect to EC2 instances over AWS SSM via herdr --remote (ephemeral EC2 Instance Connect keys).	https://github.com/maayanyosef/herdr-aws-ssm
milkyskies/herdr-attention	3	JavaScript	attention.jump	Attention Jump	0.1.0	0.7.0	linux,macos,windows	herdr-plugin.toml	Jump focus to the next agent that needs attention (blocked, then done).	https://github.com/milkyskies/herdr-attention
mr04vv/herdr-pane-navigator	3	Shell	pane-navigator	Pane Navigator	0.1.1	0.7.3	linux,macos	herdr-plugin.toml	Navigate workspaces, tabs, and panes as one tree, led by each pane's title.	https://github.com/mr04vv/herdr-pane-navigator
mvallebr/herdr-telegram-plugin	3	TypeScript	herdr-telegram-plugin	Herdr Telegram Bridge	0.1.0	0.7.0	linux	herdr-plugin.toml	Control your herdr agents from Telegram via forum topics. Zero-LLM bridge.	https://github.com/mvallebr/herdr-telegram-plugin
natori-hrj/herdr-triage	3	Rust	triage	Herdr Triage	0.2.1	0.7.0	linux,macos	herdr-plugin.toml	Ranks your agents by who needs you most — a blocked agent waiting 10 minutes rises to the top, so you always know who to deal with first.	https://github.com/natori-hrj/herdr-triage
osolmaz/herdr-branch-cleanup	3	Rust	branch-cleanup	Branch Cleanup	0.2.1	0.7.0	linux,macos	herdr-plugin.toml	Checks out the default branch in a pane's repo when its branch is merged or deleted on GitHub	https://github.com/osolmaz/herdr-branch-cleanup
Phoobobo/herdr-agent-config-manager	3	Python	com.herdr.agent-config-manager	Agent Config Manager	0.1.0	0.7.0	linux,macos	herdr-plugin.toml	Detect and centrally manage skills, MCP, plugins, and hooks scattered across agent config dirs (.trae, .claude, .codex, ...)	https://github.com/Phoobobo/herdr-agent-config-manager
qdentity/herdr-worktree-lifecycle	3	Rust	io.qdentity.worktree-lifecycle	Qdentity Worktree Lifecycle	0.1.1	0.7.0	linux,macos	herdr-plugin.toml	Dispatch Herdr worktree events to repo-owned worktree setup and teardown wrappers.	https://github.com/qdentity/herdr-worktree-lifecycle
rohankewal/herdr-nerd-font-tab-name	3	Python	herdr-nerd-font-tab-name	Nerd Font Tab Name	0.1.0	0.7.0	macos,linux	herdr-plugin.toml	Replaces herdr tab numbers and names with a Nerd Font icon for whatever is running in the tab	https://github.com/rohankewal/herdr-nerd-font-tab-name
salkhalil/herdr-sessionizer	3	Shell	sessionizer	Sessionizer	0.5.0	0.7.0	macos,linux	herdr-plugin.toml	tmux-sessionizer for herdr: fzf over open workspaces and zoxide directories, create-or-focus with template tabs	https://github.com/salkhalil/herdr-sessionizer
ShankyJS/herdr-space-scoped-agents	3	Go	herdr-space-scoped-agents	Space-Scoped Agents	0.6.0	0.7.5	linux,macos,windows	herdr-plugin.toml	Scope the agent panel to the space you're focused on.	https://github.com/ShankyJS/herdr-space-scoped-agents
shizlie/herdr-setup-bootstrap	3	Shell	setup-bootstrap	Setup Bootstrap	0.1.2	0.7.0	linux,macos	herdr-plugin.toml	Bootstrap new Herdr worktree checkouts from worktree_init.toml.	https://github.com/shizlie/herdr-setup-bootstrap
StructuPath/herdr-swarm	3	JavaScript	structupath.swarm	Swarm	0.1.0	0.7.4	macos,linux	herdr-plugin.toml	Worktree-per-agent fan-out, per-slot change visibility, and review-first harvest for parallel coding agents	https://github.com/StructuPath/herdr-swarm
TheMetalStorm/herdr-commandcode-plugin	3	Shell	commandcode.integration	Command Code	0.1.0	0.7.0	linux,macos,windows	herdr-plugin.toml	Launch and manage Command Code (cmd) agents inside Herdr, with session restore and lifecycle state.	https://github.com/TheMetalStorm/herdr-commandcode-plugin
timofey-TK/herdr-worktree-hooks	3	Python	worktree-hooks	Worktree Hooks	0.2.0	0.7.0	linux,macos	herdr-plugin.toml	Run custom setup/teardown commands when herdr worktrees are created, opened, or removed	https://github.com/timofey-TK/herdr-worktree-hooks
ugurtarlig/herdr-agent-recency	3	Python	ugurtarlig.agent-recency	Agent Recency	0.1.0	0.7.0	macos	herdr-plugin.toml	Pick and focus Herdr agents sorted by their most recent activity	https://github.com/ugurtarlig/herdr-agent-recency
willfish/herdr-navigator	3	Rust	willfish.herdr-navigator	Navigator	0.1.0	0.7.0	linux,macos	herdr-plugin.toml	Vim/Neovim-aware Herdr pane navigation actions	https://github.com/willfish/herdr-navigator
wjarka/herdr-ghostty-tab-title	3	Python	ghostty-tab-title	Ghostty tab title	0.2.0	0.7.4	linux,macos	herdr-plugin.toml	Shows color-coded agent status counts (blocked / done / working / idle) in the Ghostty tab title.	https://github.com/wjarka/herdr-ghostty-tab-title
yoshiori/herdr-configurable-picker	3	Rust	yoshiori.herdr-configurable-picker	herdr-configurable-picker	1.0.0	0.7.0	linux,macos	herdr-plugin.toml	Goto picker with Emacs-style movement, IME-safe keys, and fully configurable bindings	https://github.com/yoshiori/herdr-configurable-picker
4Born/herdr-pane-id-labeler	2	JavaScript	io.github.4born.pane-id-labeler	Pane ID Labeler	0.1.0	0.7.5	linux,macos,windows	herdr-plugin.toml	Keep Herdr pane labels synchronized with public pane IDs such as w1:p2.	https://github.com/4Born/herdr-pane-id-labeler
alasano/house-of-herdr	2	TypeScript	alasano.codex-micro	Codex Micro for Herdr	0.1.0	0.7.5	macos	packages/codex-micro/herdr-plugin.toml	Agent status lights and controls on the Work Louder Codex Micro	https://github.com/alasano/house-of-herdr
alejodelosrios/herdr-claude-usage	2	Python	unit1.claude-usage	Claude Usage	0.1.0	0.7.0	macos,linux	herdr-plugin.toml	Claude plan usage (Session % | Week %) always visible in the spaces sidebar, plus a detail popup. Reads the same numbers Claude Code shows in /status.	https://github.com/alejodelosrios/herdr-claude-usage
aliou/herdr-cast	2	Rust	ad.cast	Cast	0.1.0	0.8.0	macos,linux	herdr-plugin.toml	Personal Herdr customizations with agent notifications and workspace tools.	https://github.com/aliou/herdr-cast
alon-z/herdr-devup	2	TypeScript	alonz.devup	Devup	0.1.0	0.7.0	macos,linux	herdr-plugin.toml	Per-project dev layouts: spawn tabs/panes from .herdr/dev.toml, then pull the ngrok/tunnel URL and rewrite env files.	https://github.com/alon-z/herdr-devup
amurru/herdr-whistle	2	Go	herdr-whistle	Herdr Whistle	0.1.0	0.7.0	linux,macos	herdr-plugin.toml	Telegram bot for remote herdr agent management - list, read, send, and restart agents via Telegram	https://github.com/amurru/herdr-whistle
arjenblokzijl/herdr-launcher	2	Rust	arjenblokzijl.herdr-launcher	Launcher	0.3.0	0.7.0	macos,linux	herdr-plugin.toml	A workflow launcher with a ratatui TUI picker + field form (fuzzy select, multi-line). Declarative TOML workflows, single static Rust binary.	https://github.com/arjenblokzijl/herdr-launcher
azizuysal/herdr-workbench	2	Rust	herdr-workbench	Herdr Workbench	1.0.7	0.7.5	linux,macos	herdr-plugin.toml	A polished project sidebar for Herdr with Explorer, live file and content search, read-only Source Control, rich previews, file icons, and Git decorations.	https://github.com/azizuysal/herdr-workbench
bojackduy/nvim-herdr-navigation	2	Lua	local.vim-navigator	Vim Navigator	0.1.0	0.7.0	linux,macos	herdr-vim-navigator/herdr-plugin.toml	Vim-aware Herdr pane navigation for ctrl+h/j/k/l.	https://github.com/bojackduy/nvim-herdr-navigation
calebcauthon/herdr-agent-copy-paste-fork	2	Shell	herdr-plugins.fork	Fork	0.3.0	0.7.5	linux,macos	herdr-plugin.toml	Fork the current pane's agent conversation into a new tab or split, or copy/paste it into another pane.	https://github.com/calebcauthon/herdr-agent-copy-paste-fork
calebcauthon/herdr-birdseye	2	Rust	herdr-plugins.birdseye	Birdseye	0.6.0	0.7.5	linux,macos	herdr-plugin.toml	Show every Herdr agent in live grid and column views.	https://github.com/calebcauthon/herdr-birdseye
carsonjones/herdr-agent-dashboard	2	TypeScript	local.agents	Agents Dashboard	0.1.0	0.7.0	linux,macos	herdr-plugin.toml	Launch the live agents dashboard, or jump to its tab if already running.	https://github.com/carsonjones/herdr-agent-dashboard
cdc-lst/herdr-wait	2	TypeScript	herdr-wait	herdr-wait	0.1.0	0.7.0	macos,linux	herdr-plugin.toml	Enriches agent-pane sidebar status from the pane's actual foreground command (waiting / sub-CLI reviewer), leaving dev servers untouched.	https://github.com/cdc-lst/herdr-wait
cokekitten/herdr-telegram-bridge	2	Python	telegram.bridge	Telegram Bridge	0.3.0	0.7.0	macos,linux	herdr-plugin.toml	Drive your herdr agents from Telegram: push on done/blocked, reply to send text or files straight back in.	https://github.com/cokekitten/herdr-telegram-bridge
danilolucasmd/herdr-clone-layout	2	Shell	herdr-clone-layout	Clone Layout	0.6.0	0.7.0	linux,macos	herdr-plugin.toml	Every new workspace/worktree inherits the tab + pane-split geometry of the workspace you were just in (geometry only — panes open as bare shells).	https://github.com/danilolucasmd/herdr-clone-layout
darjss/herdr-orchestrate	2	TypeScript	darjss.herdr-orchestrate	herdr-orchestrate	0.1.2	0.7.1	linux,macos	herdr-plugin.toml	Pi-native orchestration for visible Herdr worker sessions.	https://github.com/darjss/herdr-orchestrate
devoc09/herdr-equalize-vsplit	2	Go	devoc09.equalize-vsplit	Equalize VSplit	0.1.0	0.7.0	macos	herdr-plugin.toml	Split pane right and equalize column widths in the current tab	https://github.com/devoc09/herdr-equalize-vsplit
ditwrd/herdr-remote-worktrunk	2	Shell	remote-worktrunk	Remote Worktrunk	0.1.0	0.7.0	linux,macos	herdr-plugin.toml	Pull remote branches/PRs/issues into herdr workspaces via worktrunk	https://github.com/ditwrd/herdr-remote-worktrunk
dzwduan/herdr-convo-index	2	Python	convo.index	Conversation Index	0.7.0	0.7.0	macos,linux	herdr-plugin.toml	Turn index for the focused Claude Code or Codex pane, docked as a side pane; click a turn to read it in full.	https://github.com/dzwduan/herdr-convo-index
edouard-andrei/herdr-layout-tools	2	JavaScript	edi.layout-tools	Layout Tools	0.4.0	0.8.0	linux,macos	herdr-plugin.toml	Visual layout editor plus equalize and reshape, applied in place — same tab id, same pane ids, processes preserved.	https://github.com/edouard-andrei/herdr-layout-tools
eyalev/herdr-web	2	JavaScript	eyalev.herdr-web	herdr-web	0.1.0	0.7.0	linux,macos	herdr-plugin.toml	Mobile-first web UI: drive your agents from a phone browser	https://github.com/eyalev/herdr-web
flupke/herdr-progressive-reviewer	2	Rust	herdr.progressive-reviewer	Progressive reviewer	0.1.0	0.7.5	linux,macos	herdr-plugin.toml	Turns based diff reviewer inspired by Tidewave	https://github.com/flupke/herdr-progressive-reviewer
furuhashin/herdr-synchronize-panes	2	JavaScript	synchronize-panes	Synchronize Panes	0.1.0	0.7.0	macos,linux	herdr-plugin.toml	Broadcast one command to every pane in the current tab	https://github.com/furuhashin/herdr-synchronize-panes
getpipher/herdr-sysmon	2	Shell	getpipher.herdr-sysmon	Herdr Sysmon	0.1.1	0.7.0	macos	herdr-plugin.toml	System metrics in the Herdr sidebar — CPU, memory, battery, network, disk, clock. A faithful port of a tmux-cpu/tmux-battery/tmux-online-status status bar into Herdr workspace tokens. macOS-first.	https://github.com/getpipher/herdr-sysmon
GranamyrBR/herdr-english-coach	2	Shell	granamyrbr.english-coach	English Coach	0.3.0	0.7.0	linux,macos	herdr-plugin.toml	A teacher's notebook for non-native English speakers: your coding agent logs color-coded English corrections (grammar + dev jargon) to a live side pane while you work.	https://github.com/GranamyrBR/herdr-english-coach
haphamdev/herdr-simple-switcher	2	Shell	simple-switcher	Simple Switcher	0.4.0	0.7.0	linux,macos	herdr-plugin.toml	Fuzzy switch between workspaces, tabs, agents, and projects with fzf	https://github.com/haphamdev/herdr-simple-switcher
HexSleeves/herdr-warp	2	Shell	hexsleeves.warp	Warp Native Agent View	0.1.0	0.7.5	macos	herdr-plugin.toml	Open a Herdr workspace as native Warp panes	https://github.com/HexSleeves/herdr-warp
iikjl/herdr-spotify	2	Go	spotify-now-playing	Spotify Now Playing	1.0.0	0.7.0	macos	herdr-plugin.toml	Overlay popup showing the current Spotify track with a progress bar and playback controls (space play/pause, n next, b previous, q close). macOS only; talks to Spotify via AppleScript. Requires the Go toolchain to build.	https://github.com/iikjl/herdr-spotify
ismaelosuna7824/herdr-recent-workspaces	2	Go	ismaelosuna.recent-workspaces	Recent Workspaces	0.1.3	0.7.0	linux,macos	herdr-plugin.toml	Open recent — a fuzzy-filterable list of the folders you've opened as Herdr workspaces. Select one to open or re-focus that workspace.	https://github.com/ismaelosuna7824/herdr-recent-workspaces
JacquesvanWyk/herdr-hunk	2	Shell	herdr-hunk	herdr-hunk	0.1.1	0.7.0	linux,macos	herdr-plugin.toml	Interactive fzf picker for hunk: view any commit, range, stash, staged or working-tree diff in a herdr pane.	https://github.com/JacquesvanWyk/herdr-hunk
jagzmz/herdr-s3-clipboard	2	JavaScript	hsc.s3-clipboard	Herdr S3 Image Publisher	0.6.1	0.7.0	linux,macos,windows	herdr-plugin.toml	Publish clipboard images as durable public or presigned URLs using S3-compatible storage.	https://github.com/jagzmz/herdr-s3-clipboard
jeffory/herdr-walkietalkie	2	Shell	jeffory.walkietalkie	Walkietalkie	0.4.0	0.7.0	linux,macos	herdr-plugin.toml	Token-efficient cross-agent delegation: orchestrator agents spawn Claude/OpenCode/Antigravity workers in tabs, tasks and results travel as files under .wt/	https://github.com/jeffory/herdr-walkietalkie
jeromychu23/herdr-popupx	2	Rust	herdr-scratch-pane	herdr-scratch-pane	0.1.2	0.7.4	macos	herdr-plugin.toml	Persistent native floating scratch popups for Herdr.	https://github.com/jeromychu23/herdr-popupx
jomarmontuya/herdr-file-viewer	2	Go	medianeth.file-viewer	File Tree	0.7.1	0.7.0	linux,macos	herdr-plugin.toml	Clickable project file tree that opens files in Herdr workspace tabs.	https://github.com/jomarmontuya/herdr-file-viewer
jsmenzies/mergr	2	Rust	mergr	mergr	0.3.2	0.7.5	linux,macos	herdr-plugin.toml	GitHub pull request status for Herdr Space sidebar rows.	https://github.com/jsmenzies/mergr
jwarykowski/shepherd	2	Go	jwarykowski.herdr-shepherd	Shepherd	0.19.0	0.7.0	linux,macos	herdr-plugin.toml	Shepherd — your todos herded. Interactive todo board in a split, tab, overlay, or zoomed pane. Category/priority/due ordering, overdue pinning, notes, due dates, undo/redo, filter, archive. Backed by a markdown file.	https://github.com/jwarykowski/shepherd
JYasha11/herdr-shame-report	2	JavaScript	jyasha11.shame-report	Shame Report	0.1.0	0.7.3	linux,macos	herdr-plugin.toml	A shame ledger for the AI agents you keep waiting. The sheep remember.	https://github.com/JYasha11/herdr-shame-report
kamaaina/herdr_sync	2	Zig	sync-plugin	Sync Plugin	0.1.0	0.7.0	linux,macos	herdr-plugin.toml	send the same command to all panes in the current tab	https://github.com/kamaaina/herdr_sync
LeonardoTrapani/herdr-js-worktree-bootstrap	2	JavaScript	leonardotrapani.js-worktree-bootstrap	JavaScript Worktree Bootstrap	0.1.0	0.7.0	linux,macos	herdr-plugin.toml	Automatically prepare JavaScript and TypeScript worktrees with lockfile-aware installs and safe env restoration	https://github.com/LeonardoTrapani/herdr-js-worktree-bootstrap
malone-c/herdr-keybind-search	2	Shell	chrismalone.keybind-search	Keybind Search	0.1.0	0.7.0	linux,macos	herdr-plugin.toml	Searchable keybind overlay (fzf)	https://github.com/malone-c/herdr-keybind-search
matheus3301/herdr-phone	2	Go	matheus3301.phone	Herdr Phone	0.4.0	0.7.5	macos	herdr-plugin.toml	Use your Mac's Herdr session from your phone, over a Cloudflare tunnel	https://github.com/matheus3301/herdr-phone
meerzulee/herdr-float	2	Shell	herdr-float	Herdr Float	0.1.1	0.7.4	linux,macos	herdr-plugin.toml	A native floating shell that persists independently in every Space.	https://github.com/meerzulee/herdr-float
mejiasd3v/herdr-farm	2	JavaScript	dev.herdr-farm	Herdr Farm	0.1.0	0.7.0	linux,macos,windows	herdr-plugin.toml	3D farm that visualizes your Herdr workspaces and agents as livestock (three.js webapp)	https://github.com/mejiasd3v/herdr-farm
nhclink16/herdr-announcer	2	Python	nhclink16.announcer	Announcer	0.7.0	0.7.0	macos,linux	herdr-plugin.toml	Speaks a short summary when an agent finishes or needs input - local TTS, ElevenLabs, or any custom command	https://github.com/nhclink16/herdr-announcer
osuki-dev/muqun-gateway	2	Rust	herdr.gateway	Muqun Gateway (Herdr integration)	0.6.1	0.7.5	linux,macos	herdr-plugin.toml	Run Muqun's token-protected terminal gateway with Herdr and tmux backends.	https://github.com/osuki-dev/muqun-gateway
qq88976321/herdr-copy-search	2	Rust	copy-search	Copy Search	0.1.5	0.7.0	linux,macos	herdr-plugin.toml	regex and copycat pattern search with extrakto token extraction for pane scrollback, landing in a tmux-style copy mode, copying via OSC 52	https://github.com/qq88976321/herdr-copy-search
rvalledorjr/herdr-fresh	2	Shell	herdr-fresh	herdr-fresh	0.1.1	0.7.0	linux,macos,windows	herdr-plugin.toml	Run Fresh, the terminal IDE, as a file viewer and editor inside a herdr pane.	https://github.com/rvalledorjr/herdr-fresh
serhii-chernenko/herdr-worktreeinclude	2	Shell	serhii-chernenko.worktreeinclude	Project-local Worktrees	0.2.2	0.7.4	macos,linux	herdr-plugin.toml	Creates project-local Git worktrees and restores ignored files selected by .worktreeinclude.	https://github.com/serhii-chernenko/herdr-worktreeinclude
StructuPath/herdr-guard	2	JavaScript	structupath.guard	Guard	0.1.1	0.7.5	macos,linux	herdr-plugin.toml	Cross-agent command policy: audit, alert, and best-effort interrupt	https://github.com/StructuPath/herdr-guard
The-Dave-Stack/herdr-keymap	2	TypeScript	tds.keymap	Keymap Palette	0.5.1	0.7.0	linux,macos	herdr-plugin.toml	List herdr keybindings in an overlay and run the ones with a CLI equivalent	https://github.com/The-Dave-Stack/herdr-keymap
TheMetalStorm/herdr-freebuff-plugin	2	Shell	freebuff.integration	Freebuff	0.1.0	0.7.0	linux,macos,windows	herdr-plugin.toml	Launch and manage Freebuff agents inside Herdr, with session restore and lifecycle state.	https://github.com/TheMetalStorm/herdr-freebuff-plugin
thomasschafer/herdr-kiosk	2	Rust	thomasschafer.herdr-kiosk	Kiosk	0.1.0	0.7.4	linux,macos,windows	herdr-plugin.toml	Fuzzy-find Git repos and branches — or any folder — and open them as Herdr workspaces/worktrees.	https://github.com/thomasschafer/herdr-kiosk
to4iki/herdr-unread-jump	2	Shell	to4iki.unread-jump	Unread Jump	0.1.0	0.7.0	linux,macos	herdr-plugin.toml	Focus the next agent pane that needs attention (blocked, then done).	https://github.com/to4iki/herdr-unread-jump
tomasvarga/herdr-e2b	2	Shell	herdr-e2b	herdr-e2b	0.1.1	0.7.0	macos,linux	herdr-plugin.toml	Send a git worktree to a fresh E2B cloud sandbox on demand — a snapshot upload of the live tree, uncommitted changes and all. Press prefix+shift+e to boot a box for the current worktree and drop into a shell; the box is torn down when the worktree is removed.	https://github.com/tomasvarga/herdr-e2b
usrivastava92/herdr-wakeup	2	Rust	herdr-wakeup	Herdr Wakeup	0.1.0	0.7.0	macos,linux	plugin/herdr-plugin.toml	Keep macOS/Linux awake while Herdr agents are working, using the standalone wakeup binary.	https://github.com/usrivastava92/herdr-wakeup
